skuId,coverType,seriesNumber,patternName,colorCode,colorName,productLineCode,productLineDescription,introDate,cleaningCode,description,capCode,faceContents,backContents,wearabilityCode,wearabilityDescription,specialtyFabricCode,specialtyFabricDescription,weltPattern,slipCoverProgram,horizRepeat,vertRepeat,leatherDotCode,leatherDotDescription,specialtyLeatherCode,specialtyLeatherDescription,marriedStyles,notes,postageStampSize,dropStatus,issues,sourceSheet,sourceRow
C175733,fabric,C1757,Bartaloni,33,Birch,MU,,2020-04-01,S,"Bartaloni is a plush chenille with a fine herringbone pattern colored to live casually in todays’ interiors. Soft to the touch, beautiful and durable for our daily lives, Bartaloni is a great choice for any interior.",DR,100% Polyester,,N,Normal,,,,,.625,1.875,,,,,,,,,,MASTER FABRICS,26
C175753,fabric,C1757,Bartaloni,53,Flannel,MU,,2020-04-01,S,"Bartaloni is a plush chenille with a fine herringbone pattern colored to live casually in todays’ interiors. Soft to the touch, beautiful and durable for our daily lives, Bartaloni is a great choice for any interior.",DR,100% Polyester,,N,Normal,,,,,.625,1.875,,,,,,,,,,MASTER FABRICS,26
C175773,fabric,C1757,Bartaloni,73,Twig,MU,,2020-04-01,S,"Bartaloni is a plush chenille with a fine herringbone pattern colored to live casually in todays’ interiors. Soft to the touch, beautiful and durable for our daily lives, Bartaloni is a great choice for any interior.",DR,100% Polyester,,N,Normal,,,,,.625,1.875,,,,,,,,,,MASTER FABRICS,26
C180964,fabric,C1809,Donegal,64,Linen,MU,,2021-04-01,S,"Pattern Donegal brings fashion to the forefront in your home where traditions start, and everyone is welcome. This bold plain assimilates inspiration from the runways of Paris, London, and Milan. A plain fabric seems like the simplest of textiles, but what goes into the creation of a great plain is really quite complicated. Beauty radiates warmth from the inspired mix of color and texture in pattern Donegal. Plush chenille is the yarn that creates a lofty feel and luxurious soft hand combined into an intricate dimensional plain weave. Donegal is alluring on its own offering exciting new colors each dreamy, natural, and calming. Live well with this chic and casual cover.",DR,100% Polyester,,N,Normal,,,,,0,0,,,,,,,,,,MASTER FABRICS,27
C180969,fabric,C1809,Donegal,69,Granite,MU,,2021-04-01,S,"Pattern Donegal brings fashion to the forefront in your home where traditions start, and everyone is welcome. This bold plain assimilates inspiration from the runways of Paris, London, and Milan. A plain fabric seems like the simplest of textiles, but what goes into the creation of a great plain is really quite complicated. Beauty radiates warmth from the inspired mix of color and texture in pattern Donegal. Plush chenille is the yarn that creates a lofty feel and luxurious soft hand combined into an intricate dimensional plain weave. Donegal is alluring on its own offering exciting new colors each dreamy, natural, and calming. Live well with this chic and casual cover.",DR,100% Polyester,,N,Normal,,,,,0,0,,,,,,,,,,MASTER FABRICS,27
C180974,fabric,C1809,Donegal,74,Mushroom,MU,,2021-04-01,S,"Pattern Donegal brings fashion to the forefront in your home where traditions start, and everyone is welcome. This bold plain assimilates inspiration from the runways of Paris, London, and Milan. A plain fabric seems like the simplest of textiles, but what goes into the creation of a great plain is really quite complicated. Beauty radiates warmth from the inspired mix of color and texture in pattern Donegal. Plush chenille is the yarn that creates a lofty feel and luxurious soft hand combined into an intricate dimensional plain weave. Donegal is alluring on its own offering exciting new colors each dreamy, natural, and calming. Live well with this chic and casual cover.",DR,100% Polyester,,N,Normal,,,,,0,0,,,,,,,,,,MASTER FABRICS,27
C180987,fabric,C1809,Donegal,87,Marine,MU,,2021-04-01,S,"Pattern Donegal brings fashion to the forefront in your home where traditions start, and everyone is welcome. This bold plain assimilates inspiration from the runways of Paris, London, and Milan. A plain fabric seems like the simplest of textiles, but what goes into the creation of a great plain is really quite complicated. Beauty radiates warmth from the inspired mix of color and texture in pattern Donegal. Plush chenille is the yarn that creates a lofty feel and luxurious soft hand combined into an intricate dimensional plain weave. Donegal is alluring on its own offering exciting new colors each dreamy, natural, and calming. Live well with this chic and casual cover.",DR,100% Polyester,,N,Normal,,,,,0,0,,,,,,,,,,MASTER FABRICS,27
C181233,fabric,C1812,Damon,33,Oyster,MU,,2021-04-01,S,Damon is a super soft padded piece-dyed chenille fabric with a fleece backing meant to accentuate the loft of the face.  The fabric consists of a novelty subtle contrast yarn that is meant to give the product a bit more depth.,UR,"94% Polyester, 6% Nylon",,N,Normal,,,,,0,0,,,,,,,,,,MASTER FABRICS,28
C181254,fabric,C1812,Damon,54,Stone,MU,,2021-04-01,S,Damon is a super soft padded piece-dyed chenille fabric with a fleece backing meant to accentuate the loft of the face.  The fabric consists of a novelty subtle contrast yarn that is meant to give the product a bit more depth.,UR,"94% Polyester, 6% Nylon",,N,Normal,,,,,0,0,,,,,,,,,,MASTER FABRICS,28
C181257,fabric,C1812,Damon,57,Charcoal,MU,,2021-04-01,S,Damon is a super soft padded piece-dyed chenille fabric with a fleece backing meant to accentuate the loft of the face.  The fabric consists of a novelty subtle contrast yarn that is meant to give the product a bit more depth.,UR,"94% Polyester, 6% Nylon",,N,Normal,,,,,0,0,,,,,,,,,,MASTER FABRICS,28
C181262,fabric,C1812,Damon,62,Muslin,MU,,2021-04-01,S,Damon is a super soft padded piece-dyed chenille fabric with a fleece backing meant to accentuate the loft of the face.  The fabric consists of a novelty subtle contrast yarn that is meant to give the product a bit more depth.,UR,"94% Polyester, 6% Nylon",,N,Normal,,,,,0,0,,,,,,,,,,MASTER FABRICS,28
C181286,fabric,C1812,Damon,86,Midnight,MU,,2021-04-01,S,Damon is a super soft padded piece-dyed chenille fabric with a fleece backing meant to accentuate the loft of the face.  The fabric consists of a novelty subtle contrast yarn that is meant to give the product a bit more depth.,UR,"94% Polyester, 6% Nylon",,N,Normal,,,,,0,0,,,,,,,,,,MASTER FABRICS,28
C185252,fabric,C1852,Tiago,52,Twilight,MU,,2021-10-01,W,"Create an environment of warmth and coziness with this soft chenille body cloth Tiago. Its space dyed warp yarns combined with a textured weave effect add depth and dimension to the bi-color chenille body. This gorgeous pattern will bring texture into the home. Offered in a selection of colors – Fawn, Granite, Mocha, Twilight and Navy you will find the right color to create a welcoming space. Tiago is made of 100% polyester and is exceeds over 15,000 double rubs.",DR,100% Polyester,,N,Normal,,,,,0,0,,,,,,,,,,MASTER FABRICS,29
C185255,fabric,C1852,Tiago,55,Granite,MU,,2021-10-01,W,"Create an environment of warmth and coziness with this soft chenille body cloth Tiago. Its space dyed warp yarns combined with a textured weave effect add depth and dimension to the bi-color chenille body. This gorgeous pattern will bring texture into the home. Offered in a selection of colors – Fawn, Granite, Mocha, Twilight and Navy you will find the right color to create a welcoming space. Tiago is made of 100% polyester and is exceeds over 15,000 double rubs.",DR,100% Polyester,,N,Normal,,,,,0,0,,,,,,,,,,MASTER FABRICS,29
C185265,fabric,C1852,Tiago,65,Fawn,MU,,2021-10-01,W,"Create an environment of warmth and coziness with this soft chenille body cloth Tiago. Its space dyed warp yarns combined with a textured weave effect add depth and dimension to the bi-color chenille body. This gorgeous pattern will bring texture into the home. Offered in a selection of colors – Fawn, Granite, Mocha, Twilight and Navy you will find the right color to create a welcoming space. Tiago is made of 100% polyester and is exceeds over 15,000 double rubs.",DR,100% Polyester,,N,Normal,,,,,0,0,,,,,,,,,,MASTER FABRICS,29
C185276,fabric,C1852,Tiago,76,Mocha,MU,,2021-10-01,W,"Create an environment of warmth and coziness with this soft chenille body cloth Tiago. Its space dyed warp yarns combined with a textured weave effect add depth and dimension to the bi-color chenille body. This gorgeous pattern will bring texture into the home. Offered in a selection of colors – Fawn, Granite, Mocha, Twilight and Navy you will find the right color to create a welcoming space. Tiago is made of 100% polyester and is exceeds over 15,000 double rubs.",DR,100% Polyester,,N,Normal,,,,,0,0,,,,,,,,,,MASTER FABRICS,29
C185286,fabric,C1852,Tiago,86,Navy,MU,,2021-10-01,W,"Create an environment of warmth and coziness with this soft chenille body cloth Tiago. Its space dyed warp yarns combined with a textured weave effect add depth and dimension to the bi-color chenille body. This gorgeous pattern will bring texture into the home. Offered in a selection of colors – Fawn, Granite, Mocha, Twilight and Navy you will find the right color to create a welcoming space. Tiago is made of 100% polyester and is exceeds over 15,000 double rubs.",DR,100% Polyester,,N,Normal,,,,,0,0,,,,,,,,,,MASTER FABRICS,29
C186008,fabric,C1860,Persia,08,Wine,MU,,2021-10-01,WS,"An exceptionally soft face chenille semi-plain, Persia has both strength and durability because it is rated as a heavy duty wearable fabric. 
Persia is backed with a padding to give it a more substantial feel, making it perfect for motion applications. With its tonal shades of today’s popular colorations, combined with its soft hand, Persia also is a very saleable stationary cover.",DR,100% Polyester,,N,Normal,,,,,0,0,,,,,,,,,,MASTER FABRICS,30
C186036,fabric,C1860,Persia,36,Desert,MU,,2021-10-01,WS,"An exceptionally soft face chenille semi-plain, Persia has both strength and durability because it is rated as a heavy duty wearable fabric. 
Persia is backed with a padding to give it a more substantial feel, making it perfect for motion applications. With its tonal shades of today’s popular colorations, combined with its soft hand, Persia also is a very saleable stationary cover.",DR,100% Polyester,,N,Normal,,,,,0,0,,,,,,,,,,MASTER FABRICS,30
C186054,fabric,C1860,Persia,54,Greystone,MU,,2021-10-01,WS,"An exceptionally soft face chenille semi-plain, Persia has both strength and durability because it is rated as a heavy duty wearable fabric. 
Persia is backed with a padding to give it a more substantial feel, making it perfect for motion applications. With its tonal shades of today’s popular colorations, combined with its soft hand, Persia also is a very saleable stationary cover.",DR,100% Polyester,,N,Normal,,,,,0,0,,,,,,,,,,MASTER FABRICS,30
C186076,fabric,C1860,Persia,76,Bark,MU,,2021-10-01,WS,"An exceptionally soft face chenille semi-plain, Persia has both strength and durability because it is rated as a heavy duty wearable fabric. 
Persia is backed with a padding to give it a more substantial feel, making it perfect for motion applications. With its tonal shades of today’s popular colorations, combined with its soft hand, Persia also is a very saleable stationary cover.",DR,100% Polyester,,N,Normal,,,,,0,0,,,,,,,,,,MASTER FABRICS,30
C186086,fabric,C1860,Persia,86,Lake,MU,,2021-10-01,WS,"An exceptionally soft face chenille semi-plain, Persia has both strength and durability because it is rated as a heavy duty wearable fabric. 
Persia is backed with a padding to give it a more substantial feel, making it perfect for motion applications. With its tonal shades of today’s popular colorations, combined with its soft hand, Persia also is a very saleable stationary cover.",DR,100% Polyester,,N,Normal,,,,,0,0,,,,,,,,,,MASTER FABRICS,30
C186153,fabric,C1861,Sarah,53,Dove,MU,,2022-04-01,WS,"a beautifully refined base cloth woven with a sumptuous high-quality chenille yarn on a finely, textured warp. The special warp creates a soft weave interest and enhanced durability.",DR,100% Polyester,,P,Performance,,,,X,0,0,,,,,,,,,,MASTER FABRICS,31
C186158,fabric,C1861,Sarah,58,Slate,MU,,2022-04-01,WS,"a beautifully refined base cloth woven with a sumptuous high-quality chenille yarn on a finely, textured warp. The special warp creates a soft weave interest and enhanced durability.",DR,100% Polyester,,P,Performance,,,,X,0,0,,,,,,,,,,MASTER FABRICS,31
C186162,fabric,C1861,Sarah,62,Truffle,MU,,2022-04-01,WS,"a beautifully refined base cloth woven with a sumptuous high-quality chenille yarn on a finely, textured warp. The special warp creates a soft weave interest and enhanced durability.",DR,100% Polyester,,P,Performance,,,,X,0,0,,,,,,,,,,MASTER FABRICS,31
C186186,fabric,C1861,Sarah,86,Indigo,MU,,2022-04-01,WS,"a beautifully refined base cloth woven with a sumptuous high-quality chenille yarn on a finely, textured warp. The special warp creates a soft weave interest and enhanced durability.",DR,100% Polyester,,P,Performance,,,,X,0,0,,,,,,,,,,MASTER FABRICS,31
C187232,fabric,C1872,Lynx,32,Cream,MU,,2022-04-01,WS,"Lynx is a 100% polyester jacquard, woven in tonal coloration combo’s. The mid-sized scaled pattern effect is subtle enough to be used on the body of any stationary group, but also distinctive enough to be used as an accent chair and pillow. A great value for a jacquard weave, Lynx rates as a heavy duty wearable fabric so it is perfect for motion.",DR,100% Polyester,,N,Normal,,,,,0,0,,,,,,,,,,MASTER FABRICS,32
C187233,fabric,C1872,Lynx,33,Burlap,MU,,2022-04-01,WS,"Lynx is a 100% polyester jacquard, woven in tonal coloration combo’s. The mid-sized scaled pattern effect is subtle enough to be used on the body of any stationary group, but also distinctive enough to be used as an accent chair and pillow. A great value for a jacquard weave, Lynx rates as a heavy duty wearable fabric so it is perfect for motion.",DR,100% Polyester,,N,Normal,,,,,0,0,,,,,,,,,,MASTER FABRICS,32
C187252,fabric,C1872,Lynx,52,Cement,MU,,2022-04-01,WS,"Lynx is a 100% polyester jacquard, woven in tonal coloration combo’s. The mid-sized scaled pattern effect is subtle enough to be used on the body of any stationary group, but also distinctive enough to be used as an accent chair and pillow. A great value for a jacquard weave, Lynx rates as a heavy duty wearable fabric so it is perfect for motion.",DR,100% Polyester,,N,Normal,,,,,0,0,,,,,,,,,,MASTER FABRICS,32
C187276,fabric,C1872,Lynx,76,Birch,MU,,2022-04-01,WS,"Lynx is a 100% polyester jacquard, woven in tonal coloration combo’s. The mid-sized scaled pattern effect is subtle enough to be used on the body of any stationary group, but also distinctive enough to be used as an accent chair and pillow. A great value for a jacquard weave, Lynx rates as a heavy duty wearable fabric so it is perfect for motion.",DR,100% Polyester,,N,Normal,,,,,0,0,,,,,,,,dropped,,MASTER FABRICS,32
C188232,fabric,C1882,Lukas,32,Khaki,MU,,2022-04-01,S,"Lukas is a tremendous fabric, perfect for motion. It is 100% polyester, heavy duty wearable, but with a luxuriously soft hand. Woven in a subtle, semi-plain block pattern, with a come and go strie twist yarn, the texture behind the plushness adds great eye appeal to the soft touch of LUKAS.",DR,100% Polyester,,P,Performance,,,,,0,0,,,,,,,,,,MASTER FABRICS,33
C188273,fabric,C1882,Lukas,73,Camel,MU,,2022-04-01,S,"Lukas is a tremendous fabric, perfect for motion. It is 100% polyester, heavy duty wearable, but with a luxuriously soft hand. Woven in a subtle, semi-plain block pattern, with a come and go strie twist yarn, the texture behind the plushness adds great eye appeal to the soft touch of LUKAS.",DR,100% Polyester,,P,Performance,,,,,0,0,,,,,,,,,,MASTER FABRICS,33
C188279,fabric,C1882,Lukas,79,Fudge,MU,,2022-04-01,S,"Lukas is a tremendous fabric, perfect for motion. It is 100% polyester, heavy duty wearable, but with a luxuriously soft hand. Woven in a subtle, semi-plain block pattern, with a come and go strie twist yarn, the texture behind the plushness adds great eye appeal to the soft touch of LUKAS.",DR,100% Polyester,,P,Performance,,,,,0,0,,,,,,,,,,MASTER FABRICS,33
C188286,fabric,C1882,Lukas,86,Navy,MU,,2022-04-01,S,"Lukas is a tremendous fabric, perfect for motion. It is 100% polyester, heavy duty wearable, but with a luxuriously soft hand. Woven in a subtle, semi-plain block pattern, with a come and go strie twist yarn, the texture behind the plushness adds great eye appeal to the soft touch of LUKAS.",DR,100% Polyester,,P,Performance,,,,,0,0,,,,,,,,,,MASTER FABRICS,33
C194533,fabric,C1945,Cordance,33,Pearl,MU,,2023-04-01,W,"Cordance T/W is a unique texture with a distinctively vertical raised tufted cords also known as wales.  This wide wale pattern, Cordance TW, has a soft hand and is the ideal fabric to make any piece of furniture extra cozy.
Inherently plush, Cordance T/W is offered in four luscious colors: Chocolate, Driftwood, Pearl, and Pebble. Cordance T/W is made of 100% polyester.",UR,100% Polyester,,N,Normal,,,,,0,0,,,,,,,,,,MASTER FABRICS,34
C194554,fabric,C1945,Cordance,54,Pebble,MU,,2023-04-01,W,"Cordance T/W is a unique texture with a distinctively vertical raised tufted cords also known as wales.  This wide wale pattern, Cordance TW, has a soft hand and is the ideal fabric to make any piece of furniture extra cozy.
Inherently plush, Cordance T/W is offered in four luscious colors: Chocolate, Driftwood, Pearl, and Pebble. Cordance T/W is made of 100% polyester.",UR,100% Polyester,,N,Normal,,,,,0,0,,,,,,,,,,MASTER FABRICS,34
C194572,fabric,C1945,Cordance,72,Driftwood,MU,,2023-04-01,W,"Cordance T/W is a unique texture with a distinctively vertical raised tufted cords also known as wales.  This wide wale pattern, Cordance TW, has a soft hand and is the ideal fabric to make any piece of furniture extra cozy.
Inherently plush, Cordance T/W is offered in four luscious colors: Chocolate, Driftwood, Pearl, and Pebble. Cordance T/W is made of 100% polyester.",UR,100% Polyester,,N,Normal,,,,,0,0,,,,,,,,,,MASTER FABRICS,34
